ID,Name,Start_Date,End_Date,Price_Model,Total_Limit_Salesforce,Campaign_Delivery_Status,Daily_Limit,Total_Limit,Impressions,CVVs,%Delivered,VCR,Vlook_up,Account_Manager,Placement_IDs,Analyst,Booked_Limit
299881,ACTR - Fibabanka TR - Adxclusive - Sep11 - Sep30,11/09/2025,09/30/2025,CPCV,"909,091",Not Delivered in Full,"46,000","828,948","299,311","268,584",0,,#N/A,Not Found,Not Found,Not Found,Not Found
299882,ACTR - HM TR - Fall - Sep12 - Sep30,11/09/2025,09/30/2025,CPCV,"1,600,000",Delivered in Full,"80,000","1,095,652","1,170,034","1,095,989",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299890,ACTR - Speed Medya TR EMEA - BİM TR - Sep15 - Sep30,09/16/2025,09/30/2025,CPCV,04/04/5011,Delivered in Full,"190,755","1,687,500","1,904,892","1,690,137",1,,"299,890",Gencay Evren,C-003052,Peddakotla Raviteja,1607143
299920,ACTR - Jacobs TR - Sum25 - Sep19 - Sep30,09/18/2025,09/30/2025,CPCV,,Delivered in Full,"30,172","362,069","388,609","362,248",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299865,ACUK - Disney Fantastic Four - Sep23 - Sep28 - Burst 1,09/22/2025,09/28/2025,CPM,,Not Delivered in Full,"112,592","605,002","544,671","491,349",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299892,ACCS - GroupM CZ - Media Age Brno Gamenow - Sep4 - Sep28,09/16/2025,09/28/2025,CPCV,,Delivered in Full,"20,000","270,375","296,029","270,585",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299790,ACBE - SpaceFwd - Good Snack - Good Pasta - Aug15 - Sep28,08/14/2025,09/28/2025,CPCV,,Delivered in Full,"80,000","1,170,508","1,217,055","1,170,957",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299906,ACBG - One Battle After Another  - Alexandra Films - Sep17 - Sep28,09/18/2025,09/28/2025,CPCV,"588,236",Not Delivered in Full,"9,000","105,000","109,098","98,254",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299930,ACTR - Speed Medya TR - Bim TR - Sep24 - Sep25,09/23/2025,09/25/2025,CPCV,"175,438",Delivered in Full,"500,000","750,000","837,240","769,561",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299925,ACTR - Speed Medya TR - Bim TR - Sep20 - Sep21,09/20/2025,09/21/2025,CPCV,,Delivered in Full,"500,000","750,000","824,456","754,403",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299623,ACCS - OMD CZ - Orkla Foods - SimplyFresh - Jul4 - Sep20,04/07/2025,09/20/2025,CPCV,"210,526",Delivered in Full,"40,000","525,000","549,232","525,993",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299896,ACTR - Speed Medya TR - Bim TR - Sep17 - Sep18,09/17/2025,09/18/2025,CPCV,"681,818",Not Delivered in Full,"1,124,999","1,124,999","820,087","743,475",1,,"299,896",Gencay Evren,C-003064,Peddakotla Raviteja,1071428
299864,ACTR - Vivaki TR - CarrefourSA - Sep 4 - Sep 15,08/09/2025,09/15/2025,CPCV,04/30/2380,Delivered in Full,"60,000","420,000","465,024","420,310",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299767,ACTR - Vivaki TR - Lego - Aug5 - Sep15,04/08/2025,09/15/2025,CPCV,"312,000",Delivered in Full,"113,637","238,637","258,159","238,659",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299820,ACTR - Opet TR - UltraRace - Aug26 - Sep15,08/25/2025,09/15/2025,CPCV,"909,091",Delivered in Full,"87,500","1,750,000","1,880,087","1,750,554",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299884,ACTR - Speed Medya TR - Bim TR - Sep13 - Sep14,12/09/2025,09/14/2025,CPCV,"909,091",Not Delivered in Full,"500,000","800,000","842,724","775,876",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299700,ACUK - UK GOV - DfT Summer Drink - Jul24-Sep14,07/23/2025,09/14/2025,CPCV,"526,316",Not Delivered in Full,"47,646","2,382,296","2,407,374","2,298,880",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299793,ACRO - Mediacom - Coca Cola - Aug15 - Aug31,08/15/2025,09/14/2025,CPCV,"645,161",Not Delivered in Full,"80,000","1,050,000","1,109,992","1,014,179",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299795,ACRO - Mediacom - Coca Cola - Aug15 - Aug31 AV,08/15/2025,09/14/2025,CPCV,"315,789",Not Delivered in Full,"6,100","105,000","112,589","104,753",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299863,ACTR - Vivaki TR - CarrefourSA - TBC - Sep4 - Sep11,07/09/2025,11/09/2025,CPCV,"166,667",Not Delivered in Full,"52,500","210,000","151,195","141,170",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299872,ACTR - Speed Medya TR - Bim TR - Sep10 - Sep11,09/09/2025,11/09/2025,CPCV,"1,590,909",Delivered in Full,"750,000","1,124,999","1,299,026","1,182,203",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299519,ACCR - Croatia Internal - Admiral Casino - Jun1 - Sep1,06/13/2025,10/09/2025,CPCV,"177,273",Not Delivered in Full,"1,000","980,000","1,033,830","958,837",1,,"299,519",Idil Yurtan,C-002360,DT,940000
299812,ACTR -  McCann TR - H&M - Aug21 - Sep10,08/21/2025,10/09/2025,CPCV,"681,818",Delivered in Full,"200,000","2,008,696","2,173,373","2,012,478",1,,"299,812",Gencay Evren,C-002932,DT,1913044
299774,ACCS - Double Star Casino - SK - Aug8 - Sep7,08/08/2025,07/09/2025,CPCV,"1,136,364",Not Delivered in Full,"35,000","300,000","327,946","289,476",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299759,ACLAUS - Amazon Prime - Aug4 - Sep7,04/08/2025,07/09/2025,CPM,"526,316",Not Delivered in Full,"200,000","3,775,000","3,680,715","3,342,643",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299777,ACLAUS - McDonalds - McDonaldland - Aug12 - Sep7,12/08/2025,07/09/2025,CPM,"764,700",Delivered in Full,"97,000","2,625,000","2,625,378","2,369,268",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299827,ACBG - The Conjuring Last Rites - Alexandra Films - Aug27 - Sep7,08/29/2025,07/09/2025,CPCV,11/21/2339,Not Delivered in Full,"15,000","105,000","120,045","102,855",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299833,ACTR - Speed Medya TR - Bim TR - Sep1 - Sep7,08/31/2025,07/09/2025,CPCV,60000,Delivered in Full,"200,000","1,275,000","1,414,703","1,277,319",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299856,ACTR - Speed Medya TR - Bim TR - Sep6 - Sep7,06/09/2025,07/09/2025,CPCV,"545,455",Delivered in Full,"750,000","750,000","837,423","757,604",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299664,ACLAUS - Verizon Mobility - Jul1 - Sep7,07/15/2025,07/09/2025,CPM,"10,000",Not Delivered in Full,"70,000","2,625,000","2,600,557","2,300,140",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299799,ACME - Dentsu - Vodafone Egypt - Aug15 - Sep6,08/14/2025,06/09/2025,CPCV,"615,385",Delivered in Full,"13,000","297,000","357,406","297,067",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299829,ACUK - OMD EMEA - Sony Pictures - Big Bold Beautiful Aug 29 Sep 03,08/28/2025,05/09/2025,CPCV,"526,316",Not Delivered in Full,0,"525,000","543,848","514,896",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299838,ACTR - Speed Medya TR - Bim TR - Sep3 - Sep5,02/09/2025,05/09/2025,CPCV,"1,951,220",Delivered in Full,"300,000","750,000","834,736","752,573",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299745,ACUK - Three Mobile - Samsung Vendor - Aug1-Sep2,07/31/2025,02/09/2025,CPM,"1,590,909",Not Delivered in Full,"53,000","1,963,740","1,958,957","1,824,749",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299615,ACLAUS - Orci North - Jun25 - Sep1,01/07/2025,01/09/2025,CPM,,Not Delivered in Full,"200,000","1,650,000","278,126","250,223",0,,#N/A,Not Found,Not Found,Not Found,Not Found
299049,ACSR -  Halk bank MK - Mar10 - Dec30,11/03/2025,08/31/2025,CPCV,,Not Delivered in Full,"15,000","500,000","582,110","477,569",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299749,ACUK - Samsung ESBO Galaxy Store - Aug04 - Aug31,03/08/2025,08/31/2025,CPM,,Not Delivered in Full,"510,000","9,340,489","9,324,631",0,1,,#N/A,Not Found,Not Found,Not Found,Not Found
299751,ACUK - Samsung ESBO Galaxy Store - Aug04 - Aug31 - BLS,03/08/2025,08/31/2025,CPM,,Delivered in Full,"20,000","100,000","100,026","96,508",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299797,ACUK - William Hill - Vegas - Aug18Aug31,08/17/2025,08/31/2025,CPCV,,Not Delivered in Full,"75,000","1,958,826","1,873,958","1,768,662",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299475,ACSR - TCCC_Coca Cola_SAC - June2 - Aug31,02/06/2025,08/31/2025,CPCV,,Delivered in Full,"5,000","456,120","483,181","458,183",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299633,ACSR -  McCANN AL – Mastercard - July7 - Aug31,08/07/2025,08/31/2025,CPCV,,Delivered in Full,"3,500","202,000","228,560","202,035",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299675,ACSR -  McDonald's SRB_SummerValu - July14 - Aug31,07/17/2025,08/31/2025,CPCV,,Delivered in Full,"4,600","214,000","222,350","214,015",1,,#N/A,Not Found,Not Found,Not Found,Not Found
